job_id,job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,remote_label,days_open,salary_bracket
AI00001,Data Scientist,219728,USD,219728,Executive,Part-Time,Sweden,Medium,Sweden,0,"Python, Computer Vision, R, Docker",Associate,13,Transportation,2024-09-23,2024-10-31,1132,6.6,TechCorp Inc,On-Site,38,> 150K
AI00002,Head of AI,230237,JPY,25326070,Executive,Part-Time,Japan,Large,Japan,50,"Kubernetes, MLOps, Tableau, Python",Bachelor,10,Transportation,2024-07-26,2024-09-12,2299,8.5,Cloud AI Solutions,Hybrid,48,> 150K
AI00003,Data Engineer,128890,EUR,109557,Executive,Contract,Germany,Small,Germany,100,"Spark, Scala, Hadoop, PyTorch, GCP",Bachelor,12,Automotive,2025-01-19,2025-03-28,1329,5.5,Quantum Computing Inc,Remote,68,100K-150K
AI00004,Computer Vision Engineer,96349,USD,96349,Mid,Freelance,Finland,Large,Finland,50,"MLOps, Linux, Tableau, Python",PhD,2,Automotive,2024-07-20,2024-09-06,1132,6.8,Cognitive Computing,Hybrid,48,60K-100K
AI00005,Robotics Engineer,63065,EUR,53605,Junior,Full-Time,France,Small,France,100,"R, Scala, SQL, GCP, Python",Associate,0,Finance,2025-03-16,2025-05-09,2011,9.3,Advanced Robotics,Remote,54,60K-100K
AI00006,Data Scientist,111794,SGD,145332,Senior,Contract,Singapore,Small,Norway,50,"NLP, MLOps, TensorFlow",Master,7,Technology,2024-11-10,2025-01-20,1021,5.1,Cloud AI Solutions,Hybrid,71,100K-150K
AI00007,AI Consultant,113897,CAD,142371,Senior,Part-Time,Canada,Large,Poland,50,"PyTorch, Linux, NLP",Associate,9,Gaming,2024-02-29,2024-04-21,2268,7.4,AI Innovations,Hybrid,52,100K-150K
AI00008,Head of AI,168639,AUD,227663,Senior,Full-Time,Australia,Large,Vietnam,100,"Spark, SQL, Tableau, Computer Vision, Linux",Associate,9,Consulting,2024-02-26,2024-03-17,1497,5.5,TechCorp Inc,Remote,20,> 150K
AI00009,Data Scientist,92624,JPY,10188640,Mid,Full-Time,Japan,Large,Japan,50,"Kubernetes, SQL, Docker, Deep Learning",Bachelor,4,Government,2024-08-18,2024-10-03,1724,9.5,DataVision Ltd,Hybrid,46,60K-100K
AI00010,Machine Learning Engineer,215627,GBP,161720,Executive,Full-Time,United Kingdom,Medium,United Kingdom,50,"Git, Scala, GCP",PhD,10,Government,2025-01-18,2025-03-20,902,7.8,DeepTech Ventures,Hybrid,61,> 150K
AI00011,Data Engineer,129706,USD,129706,Mid,Contract,Denmark,Large,Denmark,0,"SQL, PyTorch, Statistics, TensorFlow, NLP",Bachelor,3,Consulting,2024-03-10,2024-05-17,2247,5.2,Cloud AI Solutions,On-Site,68,100K-150K
AI00012,Deep Learning Engineer,76559,USD,76559,Junior,Freelance,United States,Small,United States,100,"Data Visualization, Mathematics, PyTorch, GCP",Bachelor,1,Government,2025-02-09,2025-04-14,694,8.3,Machine Intelligence Group,Remote,64,60K-100K
AI00013,Principal Data Scientist,185834,USD,185834,Executive,Contract,United States,Large,United States,100,"Linux, Data Visualization, Python, TensorFlow",Associate,14,Telecommunications,2024-03-27,2024-06-03,1710,8.9,Autonomous Tech,Remote,68,> 150K
AI00014,Principal Data Scientist,89801,USD,89801,Mid,Part-Time,Sweden,Medium,Belgium,100,"Linux, MLOps, Deep Learning",Master,3,Healthcare,2024-10-30,2025-01-06,1361,8.7,Cloud AI Solutions,Remote,68,60K-100K
AI00015,Principal Data Scientist,252601,USD,252601,Executive,Part-Time,Norway,Large,Norway,100,"Kubernetes, SQL, AWS, Git, Computer Vision",Master,19,Gaming,2024-07-24,2024-08-14,572,5.1,TechCorp Inc,Remote,21,> 150K
AI00016,AI Product Manager,20520,USD,20520,Junior,Full-Time,India,Small,India,0,"Hadoop, Git, Computer Vision, Kubernetes, Data Visualization",Master,0,Gaming,2024-08-22,2024-10-05,2455,7.5,Predictive Systems,On-Site,44,< 60K
AI00017,Robotics Engineer,192789,CHF,173510,Senior,Part-Time,Switzerland,Small,Switzerland,100,"Tableau, Git, Python, Java",Master,5,Healthcare,2024-03-27,2024-06-08,524,5.9,Quantum Computing Inc,Remote,73,> 150K
AI00018,Machine Learning Researcher,107184,SGD,139339,Senior,Freelance,Singapore,Small,Singapore,50,"Azure, GCP, Computer Vision",Master,7,Automotive,2024-05-07,2024-05-28,2111,9.2,DeepTech Ventures,Hybrid,21,100K-150K
AI00019,Robotics Engineer,141909,EUR,120623,Senior,Full-Time,Netherlands,Medium,Netherlands,0,"Git, Kubernetes, MLOps, Spark",Associate,6,Healthcare,2024-12-22,2025-01-20,1601,7.8,Cloud AI Solutions,On-Site,29,100K-150K
AI00020,Data Engineer,118238,USD,118238,Senior,Freelance,Ireland,Medium,Ireland,100,"AWS, Python, Azure, SQL, Computer Vision",Associate,7,Education,2024-11-07,2025-01-02,2431,8.2,TechCorp Inc,Remote,56,100K-150K
AI00021,Data Scientist,155210,AUD,209534,Senior,Part-Time,Australia,Large,Argentina,0,"Spark, NLP, AWS",Master,7,Energy,2025-01-24,2025-03-18,595,9.7,Neural Networks Co,On-Site,53,> 150K
AI00022,Data Engineer,96699,AUD,130544,Senior,Full-Time,Australia,Small,Australia,0,"GCP, Linux, Mathematics",PhD,5,Technology,2025-03-29,2025-04-13,582,9.7,TechCorp Inc,On-Site,15,60K-100K
AI00023,AI Software Engineer,161477,EUR,137255,Senior,Full-Time,France,Large,France,50,"Mathematics, Spark, Linux",Bachelor,8,Real Estate,2025-02-04,2025-03-03,1861,9.5,DataVision Ltd,Hybrid,27,> 150K
AI00024,AI Software Engineer,316709,USD,316709,Executive,Contract,Denmark,Large,Denmark,50,"Data Visualization, Azure, Statistics",PhD,18,Transportation,2025-04-29,2025-06-21,1284,7.6,Autonomous Tech,Hybrid,53,> 150K
AI00025,ML Ops Engineer,62089,CAD,77611,Mid,Contract,Canada,Small,Singapore,50,"Python, GCP, Linux, SQL, Deep Learning",PhD,3,Media,2024-03-18,2024-04-25,2264,9.7,Predictive Systems,Hybrid,38,60K-100K
AI00026,Principal Data Scientist,77985,USD,77985,Junior,Contract,Denmark,Small,Denmark,0,"SQL, TensorFlow, Computer Vision, Kubernetes",Associate,0,Automotive,2025-03-07,2025-04-03,655,9.4,Neural Networks Co,On-Site,27,60K-100K
AI00027,Robotics Engineer,55315,EUR,47018,Junior,Part-Time,Austria,Small,Austria,0,"Spark, Deep Learning, SQL, NLP, Python",PhD,0,Media,2025-01-09,2025-03-22,1107,9.5,Future Systems,On-Site,72,< 60K
